OBJECTID,Area_Acres,Park_ID,CD_Real,Address,Region,Name,Park_Class,CD_NEW,TOOLTIP,ACRES
167,55.59982202,295,04,11430 Chandler Blvd,V,North Hollywood Park,R,2,Name: North Hollywood Park\nLocation: 11430 Chandler Blvd,55.59982202
168,24.01765254,766,12,10058 Reseda Blvd,V,Northridge Recreation Center,C,12,Name: Northridge Recreation Center\nLocation: 10058 Reseda Blvd,24.01765254
169,695.71086812,768,12,17300 Sesnon Blvd,V,O'Melveny Park,R,12,Name: O'Melveny Park\nLocation: 17300 Sesnon Blvd,695.71086812
170,3.63266539,127,11,767 California St,W,Oakwood Recreation Center,N,11,Name: Oakwood Recreation Center\nLocation: 767 California St,3.63266539
171,0.22007678,117,11,1500 S Bundy Dr,W,Bundy Triangle,N,11,Name: Bundy Triangle\nLocation: 1500 S Bundy Dr,0.22007678
172,24.09578635,514,03,23600 Roscoe Blvd,V,Orcutt Ranch Horticultural Center,C,12,Name: Orcutt Ranch Horticultural Center\nLocation: 23600 Roscoe Blvd,24.09578635
173,8.23074694,352,02,11101 Oro Vista Ave,V,Oro Vista Park,N,7,Name: Oro Vista Park\nLocation: 11101 Oro Vista Ave,8.23074694
174,6.80193634,223,07,10943 Herrick Ave,V,David M. Gonzales Recreation Center,N,7,Name: David M. Gonzales Recreation Center\nLocation: 10943 Herrick Ave,6.80193634
175,2.07463633,560,07,11300 Glenoaks Blvd,V,North East Valley Multipurpose Center,N,7,Name: North East Valley Multipurpose Center\nLocation: 11300 Glenoaks Blvd,2.07463633
176,113.64648036,770,12,12100 Tampa Ave,V,Palisades Park (Porter Ranch),R,12,Name: Palisades Park (Porter Ranch)\nLocation: 12100 Tampa Ave,113.64648036
177,17.54244037,115,11,851 Alma Real Dr.,W,Palisades Recreation Center,C,11,Name: Palisades Recreation Center\nLocation: 851 Alma Real Dr.,17.54244037
178,4.80854645,658,05,2950 Overland Ave,W,Palms Recreation Center,N,5,Name: Palms Recreation Center\nLocation: 2950 Overland Ave,4.80854645
179,32.17782652,294,04,7600 Beverly Blvd,M,Pan Pacific Park,C,4,Name: Pan Pacific Park\nLocation: 7600 Beverly Blvd,32.17782652
180,6.00123156,562,07,8600 Hazeltine Ave,V,Panorama City Recreation Center,N,6,Name: Panorama City Recreation Center\nLocation: 8600 Hazeltine Ave,6.00123156
181,1.4204227,771,12,21444 Parthenia St,V,Parthenia Park,N,3,Name: Parthenia Park\nLocation: 21444 Parthenia St,1.4204227
182,25.76734734,567,07,10731 Laurel Canyon Blvd,V,Ritchie Valens Park,C,7,Name: Ritchie Valens Park\nLocation: 10731 Laurel Canyon Blvd,25.76734734
183,4.27987849,874,14,127 South Pecan Street,M,Pecan Recreation Center,N,14,Name: Pecan Recreation Center\nLocation: 127 South Pecan Street,4.27987849
184,52.70278827,124,11,1233 Rose Ave.,W,Penmar Golf Course,R,11,Name: Penmar Golf Course\nLocation: 1233 Rose Ave.,52.70278827
185,12.00596469,125,11,1341 Lake St,W,Penmar Recreation Center,C,11,Name: Penmar Recreation Center\nLocation: 1341 Lake St,12.00596469
186,4.43695686,218,09,525 S Olive St,M,Pershing Square,N,14,Name: Pershing Square\nLocation: 525 S Olive St,4.43695686
187,6.29257328,659,05,7341 Willoughby ave,M,Poinsettia Recreation Center,N,5,Name: Poinsettia Recreation Center\nLocation: 7341 Willoughby ave,6.29257328
188,40.96190192,772,12,11000 Tampa Ave,V,Porter Ranch Park,C,12,Name: Porter Ranch Park\nLocation: 11000 Tampa Ave,40.96190192
189,17.78056298,773,12,18799 Sesnon Blvd,V,Porter Ridge Park,C,12,Name: Porter Ridge Park\nLocation: 18799 Sesnon Blvd,17.78056298
190,2.71237512,875,14,612 N Echandia Street,M,Prospect Park,N,14,Name: Prospect Park\nLocation: 612 N Echandia Street,2.71237512
191,5.23177322,257,10,1240 West Blvd,M,Queen Anne Recreation Center,N,10,Name: Queen Anne Recreation Center\nLocation: 1240 West Blvd,5.23177322
192,1.42656117,733,01,4580 N Figueroa Street,M,Ramona Hall Community Center,N,1,Name: Ramona Hall Community Center\nLocation: 4580 N Figueroa Street,1.42656117
193,28.96806395,258,10,5001 Rodeo Road,W,Rancho Cienega Sports Complex,C,10,Name: Rancho Cienega Sports Complex\nLocation: 5001 Rodeo Road,28.96806395
194,140.13672555,660,05,10460 Pico Blvd,W,Rancho Park Golf Course,R,5,Name: Rancho Park Golf Course\nLocation: 10460 Pico Blvd,140.13672555
195,1.27656078,341,15,510 Leland Avenue,P,Rena Park,N,15,Name: Rena Park\nLocation: 510 Leland Avenue,1.27656078
196,29.67840228,517,03,18411 Victory Blvd,V,Reseda Park,C,3,Name: Reseda Park\nLocation: 18411 Victory Blvd,29.67840228
197,1.0300388,259,10,2803 Reynier Avenue,W,Reynier Park,N,10,Name: Reynier Park\nLocation: 2803 Reynier Avenue,1.0300388
198,0.32141074,380,08,2700 S Budlong Avenue,P,Elinor and Don Richardson Family Park,N,8,Name: Elinor and Don Richardson Family Park\nLocation: 2700 S Budlong Avenue,0.32141074
199,1.67678104,281,04,4900 Beverly Blvd.,M,Robert L. Burns Park,N,4,Name: Robert L. Burns Park\nLocation: 4900 Beverly Blvd.,1.67678104
200,1.23557131,661,05,1641 Pruess Road,W,Robertson Recreation Center,N,5,Name: Robertson Recreation Center\nLocation: 1641 Pruess Road,1.23557131
201,14.41415551,557,07,12467 Osborne St,V,Roger W. Jessup Park,C,7,Name: Roger W. Jessup Park\nLocation: 12467 Osborne St,14.41415551
202,55.56478002,293,04,2650 N Vermont Ave,M,Roosevelt Golf Course,R,4,Name: Roosevelt Golf Course\nLocation: 2650 N Vermont Ave,55.56478002
203,1.48650564,876,14,456 S Mathews Street,M,Roosevelt High School Pool,N,14,Name: Roosevelt High School Pool\nLocation: 456 S Mathews Street,1.48650564
204,44.34813641,518,03,24116 De Quincy Ct,V,Roscoe-Valley Circle Park,C,12,Name: Roscoe-Valley Circle Park\nLocation: 24116 De Quincy Ct,44.34813641
205,2.26431718,1004,14,4530 Mercury Ave.,M,Rose Hill Recreation Center,N,14,Name: Rose Hill Recreation Center\nLocation: 4530 Mercury Ave.,2.26431718
206,10.5481857,190,15,840 W. 149th St.,P,Rosecrans Recreation Center,C,15,Name: Rosecrans Recreation Center\nLocation: 840 W. 149th St.,10.5481857
207,11.3420269,600,09,1501 E 41 St,P,Ross Snyder Recreation Center,C,9,Name: Ross Snyder Recreation Center\nLocation: 1501 E 41 St,11.3420269
208,5.93070647,191,03,20200 Runnymede St.,V,Runnymede Park,N,3,Name: Runnymede Park\nLocation: 20200 Runnymede St.,5.93070647
209,136.76443353,284,04,2000 N Fuller Ave,G,Runyon Canyon Park,R,4,Name: Runyon Canyon Park\nLocation: 2000 N Fuller Ave,136.76443353
210,44.69131991,105,11,"SW of Sullivan Fire Rd; no other address or HSENO available",W,Rustic Canyon Park,C,11,"Name: Rustic Canyon Park\nLocation: SW of Sullivan Fire Rd; no other address or HSENO available",44.69131991
211,8.94995329,107,11,601 Latimer Rd,W,Rustic Canyon Recreation Center,N,11,Name: Rustic Canyon Recreation Center\nLocation: 601 Latimer Rd,8.94995329
212,8.57621581,382,08,8701 St. Andrews Pl.,P,Saint Andrews Recreation Center,N,8,Name: Saint Andrews Recreation Center\nLocation: 8701 St. Andrews Pl.,8.57621581
213,0.89801271,735,01,20 S St. James Park,M,Saint James Park,N,1,Name: Saint James Park\nLocation: 20 S St. James Park,0.89801271
214,3.50665301,329,15,700 S Beacon Street,P,San Pedro Plaza Park,N,15,Name: San Pedro Plaza Park\nLocation: 700 S Beacon Street,3.50665301
215,31.45134196,100,11,17500 Mulholland Dr,W,San Vicente Mountain Park,C,11,Name: San Vicente Mountain Park\nLocation: 17500 Mulholland Dr,31.45134196
216,337.84219219,102,11,1100 Palisades Dr,W,Santa Ynez Canyon Park,R,11,Name: Santa Ynez Canyon Park\nLocation: 1100 Palisades Dr,337.84219219
217,0.22382598,244,13,6567 Selma Ave,M,Selma Park,N,13,Name: Selma Park\nLocation: 6567 Selma Ave,0.22382598
218,3.46636941,261,10,3250 San Marino Street,M,Seoul International Park,N,10,Name: Seoul International Park\nLocation: 3250 San Marino Street,3.46636941
219,4.93963121,163,12,17550 Victory Blvd,V,Sepulveda Basin Dog Park,N,6,Name: Sepulveda Basin Dog Park\nLocation: 17550 Victory Blvd,4.93963121
220,10.58718448,192,07,17017 Burbank Blvd,V,Sepulveda Recreation Center,C,6,Name: Sepulveda Recreation Center\nLocation: 17017 Burbank Blvd,10.58718448
221,36.54078851,519,03,4800 Serrania Ave,V,Serrania Avenue Park,C,3,Name: Serrania Avenue Park\nLocation: 4800 Serrania Ave,36.54078851
222,12.03447881,520,03,22633 Vanowen St,V,Shadow Ranch Park,C,12,Name: Shadow Ranch Park\nLocation: 22633 Vanowen St,12.03447881
223,5.45388787,301,04,3191 W 4th St,M,Shatto Recreation Center,N,13,Name: Shatto Recreation Center\nLocation: 3191 W 4th St,5.45388787
224,1.11524952,246,13,1850 W Silverlake Dr,M,Silverlake Dog Park,N,13,Name: Silverlake Dog Park\nLocation: 1850 W Silverlake Dr,1.11524952
225,3.62840692,221,09,5306 S Compton Ave,P,James Slauson Recreation Center,N,9,Name: James Slauson Recreation Center\nLocation: 5306 S Compton Ave,3.62840692
226,0.74118112,381,08,7020 S Figueroa Street,P,South Los Angeles Sports Activity Center,N,8,Name: South Los Angeles Sports Activity Center\nLocation: 7020 S Figueroa Street,0.74118112
227,18.25018545,601,09,345 E 51st St,P,South Park Recreation Center,C,9,Name: South Park Recreation Center\nLocation: 345 E 51st St,18.25018545
228,0.17229024,263,10,2301 W. 24th Street,M,South Seas House,N,10,Name: South Seas House\nLocation: 2301 W. 24th Street,0.17229024
229,2.61704055,877,14,716 N State Street,M,State Street Recreation Center,N,14,Name: State Street Recreation Center\nLocation: 716 N State Street,2.61704055
230,28.30875438,563,07,13877 Glenoaks Blvd,V,Stetson Ranch Park,C,7,Name: Stetson Ranch Park\nLocation: 13877 Glenoaks Blvd,28.30875438
231,13.70909321,358,02,9901 Dronfield St,V,Stonehurst Recreation Center,C,7,Name: Stonehurst Recreation Center\nLocation: 9901 Dronfield St,13.70909321
232,8.65607089,121,11,1835 Stoner Ave,W,Stoner Recreation Center,N,11,Name: Stoner Recreation Center\nLocation: 1835 Stoner Ave,8.65607089
233,29.05620728,776,12,10870 Topanga Canyon Blvd,V,Stoney Point Park,C,12,Name: Stoney Point Park\nLocation: 10870 Topanga Canyon Blvd,29.05620728
234,12.73530335,224,06,8041 Whitsett Ave,V,Strathern Park - North,C,2,Name: Strathern Park - North\nLocation: 8041 Whitsett Ave,12.73530335
235,0.42687784,343,02,12505 Moorpark Street,V,Studio City Mini-Park,N,2,Name: Studio City Mini-Park\nLocation: 12505 Moorpark Street,0.42687784
236,8.46400012,194,02,12505 Moorpark St,V,Studio City Recreation Center,N,2,Name: Studio City Recreation Center\nLocation: 12505 Moorpark St,8.46400012
237,17.26066808,813,06,8133 Vineland Ave,V,Sun Valley Park,C,6,Name: Sun Valley Park\nLocation: 8133 Vineland Ave,17.26066808
238,14.3219796,363,02,8651 Foothill Blvd,V,Sunland Park,C,7,Name: Sunland Park\nLocation: 8651 Foothill Blvd,14.3219796
239,13.61600019,736,01,4702 N Figueroa Street,M,Sycamore Grove Park,C,1,Name: Sycamore Grove Park\nLocation: 4702 N Figueroa Street,13.61600019
240,19.77623242,564,07,13109 Borden Ave,V,Sylmar Park,C,7,Name: Sylmar Park\nLocation: 13109 Borden Ave,19.77623242
241,5.57224821,522,03,5655 Vanalden Ave,V,Tarzana Recreation Center,N,3,Name: Tarzana Recreation Center\nLocation: 5655 Vanalden Ave,5.57224821
242,2.45490982,523,03,23367 Ingomar St,V,Taxco Trails Park,N,12,Name: Taxco Trails Park\nLocation: 23367 Ingomar St,2.45490982
243,37.58957701,111,11,15900 Pacific Coast Hwy,W,Temescal Canyon Park,C,11,Name: Temescal Canyon Park\nLocation: 15900 Pacific Coast Hwy,37.58957701
244,0.28702509,148,11,415 Culver Blvd,W,Titmouse Park,N,11,Name: Titmouse Park\nLocation: 415 Culver Blvd,0.28702509
245,2.73926359,737,01,1725 Toberman Street,M,Toberman Recreation Center,N,1,Name: Toberman Recreation Center\nLocation: 1725 Toberman Street,2.73926359
246,1.61128071,566,07,9122 Tobias Ave,V,Tobias Avenue Park,N,6,Name: Tobias Avenue Park\nLocation: 9122 Tobias Ave,1.61128071
247,0.14948861,150,11,Trask Avenue and Waterview St,W,Trask Triangle Park,N,11,Name: Trask Triangle Park\nLocation: Trask Avenue and Waterview St,0.14948861
248,0.09096021,135,11,652 Marr St,W,Triangle Park,N,11,Name: Triangle Park\nLocation: 652 Marr St,0.09096021
249,2.06298466,604,09,2415 Trinity St,P,Trinity Recreation Center,N,9,Name: Trinity Recreation Center\nLocation: 2415 Trinity St,2.06298466
250,0.06295977,738,01,8th Street & Valencia Street,M,Valencia Triangle,N,1,Name: Valencia Triangle\nLocation: 8th Street & Valencia Street,0.06295977
251,77.64113661,360,02,12240 Archwood Street,V,Valley Plaza Park,R,2,Name: Valley Plaza Park\nLocation: 12240 Archwood Street,77.64113661
252,7.81360616,375,08,5720 2nd Avenue,P,Van Ness Recreation Center,N,8,Name: Van Ness Recreation Center\nLocation: 5720 2nd Avenue,7.81360616
253,65.17562787,357,02,14201 Huston St,V,Van Nuys - Sherman Oaks Park,R,4,Name: Van Nuys - Sherman Oaks Park\nLocation: 14201 Huston St,65.17562787
254,1.3779326,814,06,6514 Sylmar Ave,V,Van Nuys Multipurpose Center,N,2,Name: Van Nuys Multipurpose Center\nLocation: 6514 Sylmar Ave,1.3779326
255,3.89422407,815,06,14301 Vanowen Ave,V,Van Nuys Recreation Center,N,6,Name: Van Nuys Recreation Center\nLocation: 14301 Vanowen Ave,3.89422407
256,10.88540621,778,12,8956 Vanalden Ave,V,Vanalden Park,C,12,Name: Vanalden Park\nLocation: 8956 Vanalden Ave,10.88540621
257,160.75253296,138,11,2300 Ocean Front Wk,W,Venice Beach,R,11,Name: Venice Beach\nLocation: 2300 Ocean Front Wk,160.75253296
258,1.47271284,141,11,2490 Walgrove Ave,W,Venice High School Pool,N,11,Name: Venice High School Pool\nLocation: 2490 Walgrove Ave,1.47271284
259,0.7531548,364,02,10654 Irma Ave,V,Verdugo Hills Pool,N,7,Name: Verdugo Hills Pool\nLocation: 10654 Irma Ave,0.7531548
260,3.0086956,603,09,1248 W 47th St,P,Vermont Square,N,9,Name: Vermont Square\nLocation: 1248 W 47th St,3.0086956
261,6.48155308,350,02,11117 W Victory Blvd,V,Victory-Vineland Recreation Center,N,2,Name: Victory-Vineland Recreation Center\nLocation: 11117 W Victory Blvd,6.48155308
262,10.06960343,195,12,11500 Viking Ave,V,Viking Park,C,12,Name: Viking Park\nLocation: 11500 Viking Ave,10.06960343
263,0.92608651,264,10,2942 Vineyard Avenue,W,Vineyard Recreation Center,N,10,Name: Vineyard Recreation Center\nLocation: 2942 Vineyard Avenue,0.92608651
264,0.51638822,241,13,464 N Madison Ave,M,Madison West Park,N,13,Name: Madison West Park\nLocation: 464 N Madison Ave,0.51638822
265,0.84108473,152,11,8150 Vista Del Mar,W,Vista Del Mar Park,N,11,Name: Vista Del Mar Park\nLocation: 8150 Vista Del Mar,0.84108473
266,15.30628426,524,03,5830 N. Topanga Canyon Blvd,V,Warner Ranch Park,C,3,Name: Warner Ranch Park\nLocation: 5830 N. Topanga Canyon Blvd,15.30628426
267,47.58094658,288,04,1824 N Curson Ave,M,Wattles Garden Park,C,4,Name: Wattles Garden Park\nLocation: 1824 N Curson Ave,47.58094658
268,1.29669046,327,15,1657 E. Century Blvd.,P,Watts Senior Citizen Center,N,15,Name: Watts Senior Citizen Center\nLocation: 1657 E. Century Blvd.,1.29669046
269,10.21254867,196,04,10844 Acama St,V,Weddington Park North,C,2,Name: Weddington Park North\nLocation: 10844 Acama St,10.21254867
270,14.48380305,287,04,10800 Valley Heart Dr,V,Weddington Park South,C,2,Name: Weddington Park South\nLocation: 10800 Valley Heart Dr,14.48380305
271,15.05183452,525,03,6900 Valley Circle Blvd,V,West Hills Sport Center,C,12,Name: West Hills Sport Center\nLocation: 6900 Valley Circle Blvd,15.05183452
272,8.08074689,526,03,6731 Wilbur Ave.,V,West Valley Park,N,3,Name: West Valley Park\nLocation: 6731 Wilbur Ave.,8.08074689
273,23.57859354,151,11,7000 W Manchester Ave,W,Westchester Recreation Center,C,11,Name: Westchester Recreation Center\nLocation: 7000 W Manchester Ave,23.57859354
274,2.24358836,132,11,1234 Pacific Ave,W,Westminster Park,N,11,Name: Westminster Park\nLocation: 1234 Pacific Ave,2.24358836
275,0.87007152,133,11,1234 Pacific Ave,W,Westminster Dog Park,N,11,Name: Westminster Dog Park\nLocation: 1234 Pacific Ave,0.87007152
276,26.69566228,666,05,1350 S Sepulveda Blvd,W,Westwood Park,C,5,Name: Westwood Park\nLocation: 1350 S Sepulveda Blvd,26.69566228
277,1.37760044,285,04,5801 1/2 Whitnall Hwy,V,Whitnall Dog Park,N,2,Name: Whitnall Dog Park\nLocation: 5801 1/2 Whitnall Hwy,1.37760044
278,125.13442464,197,02,S of Maxwell Fire Rd,V,Wilacre Park,R,2,Name: Wilacre Park\nLocation: S of Maxwell Fire Rd,125.13442464
279,7.28812133,779,12,12001 Wibur Ave,V,Wilbur-Tampa Park,N,12,Name: Wilbur-Tampa Park\nLocation: 12001 Wibur Ave,7.28812133
280,0.83339013,1002,99,8341 De Longpre Ave.,NA,William S. Hart Park,N, ,Name: William S. Hart Park\nLocation: 8341 De Longpre Ave.,0.83339013
281,7.3064255,324,15,325 Neptune Ave.,P,Wilmington Recreation Center,N,15,Name: Wilmington Recreation Center\nLocation: 325 Neptune Ave.,7.3064255
282,0.48369768,323,15,"Avalon Place & ""I"" Street",P,Wilmington Town Square,N,15,"Name: Wilmington Town Square\nLocation: Avalon Place & ""I"" Street",0.48369768
283,181.20376281,299,04,4730 Crystal Springs Dr,G,Wilson Golf Course,R,4,Name: Wilson Golf Course\nLocation: 4730 Crystal Springs Dr,181.20376281
284,15.94776638,198,12,8401 Winnetka Ave,V,Winnetka Recreation Center,C,3,Name: Winnetka Recreation Center\nLocation: 8401 Winnetka Ave,15.94776638
285,0.66796957,667,05,3409 Vinton Ave,W,Woodbine Park,N,5,Name: Woodbine Park\nLocation: 3409 Vinton Ave,0.66796957
286,4.70724142,199,02,11240 Moorpark St,V,Woodbridge Park,N,2,Name: Woodbridge Park\nLocation: 11240 Moorpark St,4.70724142
287,18.75959737,527,03,5858 Shoup Ave,V,Woodland Hills Recreation Center,C,3,Name: Woodland Hills Recreation Center\nLocation: 5858 Shoup Ave,18.75959737
288,238.88784079,809,06,6331 Woodley Ave,V,Woodley Lakes Golf Course,R,6,Name: Woodley Lakes Golf Course\nLocation: 6331 Woodley Ave,238.88784079
289,10.00311971,200,14,1840 Yosemite Drive,M,Yosemite Recreation Center,C,14,Name: Yosemite Recreation Center\nLocation: 1840 Yosemite Drive,10.00311971
290,0.9716847,273,04,6671 W Yucca St,G,Yucca Community Center,N,13,Name: Yucca Community Center\nLocation: 6671 W Yucca St,0.9716847
291,9.73628318,201,12,11690 Zelzah Ave,V,Zelzah Park,N,12,Name: Zelzah Park\nLocation: 11690 Zelzah Ave,9.73628318
292,0.13172939,208,09,5207 S Broadway,P,Broadway Park,N,9,Name: Broadway Park\nLocation: 5207 S Broadway,0.13172939
293,3.116622,233,13,1122 Cole Ave,M,Hollywood Recreation Center,N,13,Name: Hollywood Recreation Center\nLocation: 1122 Cole Ave,3.116622
294,0.32394081,227,13,1644-48 Beverly Blvd,M,Beverly Park,N,13,Name: Beverly Park\nLocation: 1644-48 Beverly Blvd,0.32394081
295,0.21738554,236,13,3305 Larissa Dr,M,Larissa Parkway,N,13,Name: Larissa Parkway\nLocation: 3305 Larissa Dr,0.21738554
296,0.32174466,238,13,3022 Del Monte Dr.,M,Laurel and Hardy Park,N,13,Name: Laurel and Hardy Park\nLocation: 3022 Del Monte Dr.,0.32174466
297,0.43145327,242,13,1571 Rockwood St,M,Rockwood Community Park,N,13,Name: Rockwood Community Park\nLocation: 1571 Rockwood St,0.43145327
298,0.3443659,243,13,5707 Lexington Ave,M,Seily Rodriguez Park,N,13,Name: Seily Rodriguez Park\nLocation: 5707 Lexington Ave,0.3443659
299,3.93497998,245,13,1850 W Silverlake Blvd,M,Silverlake Recreation Center,N,13,Name: Silverlake Recreation Center\nLocation: 1850 W Silverlake Blvd,3.93497998
300,18.33573701,229,13,1800 Riverside Dr.,M,Elysian Park Expansion,C,13,Name: Elysian Park Expansion\nLocation: 1800 Riverside Dr.,18.33573701
301,0.56091512,248,01,Occidental Blvd,M,Occidental Parkway,N,1,Name: Occidental Parkway\nLocation: Occidental Blvd,0.56091512
302,12.48760028,510,03,Wooded Vista & Twisted Oak Dr,V,Knapp Ranch Park West,C,12,Name: Knapp Ranch Park West\nLocation: Wooded Vista & Twisted Oak Dr,12.48760028
303,16.96064883,505,03,20856 Mulholland Dr,V,Caplow Property,C,3,Name: Caplow Property\nLocation: 20856 Mulholland Dr,16.96064883
304,40.50806384,509,03,4720 Corbin Ave,V,Corbin Canyon Park,C,3,Name: Corbin Canyon Park\nLocation: 4720 Corbin Ave,40.50806384
305,0.10446148,513,03,5250 N. Mecca Ave,V,Mecca Avenue Park,N,3,Name: Mecca Avenue Park\nLocation: 5250 N. Mecca Ave,0.10446148
306,14.58842132,515,11,19900 Mulholland Dr,V,Pilson Property,C,3,Name: Pilson Property\nLocation: 19900 Mulholland Dr,14.58842132
307,21.35216536,521,11,S. of Owen Brown Road,W,Steers Property,C, ,Name: Steers Property\nLocation: S. of Owen Brown Road,21.35216536
308,0.78864455,507,03,8120 Vanalden Ave,V,Cleveland High School Pool,N,3,Name: Cleveland High School Pool\nLocation: 8120 Vanalden Ave,0.78864455
309,12.50909174,753,12,20500 Sesnon Blvd,V,Holleigh Bernson Memorial Park,C,12,Name: Holleigh Bernson Memorial Park\nLocation: 20500 Sesnon Blvd,12.50909174
310,0.08313287,774,12,18501 Rinaldi St,V,Rinaldi Park,N,12,Name: Rinaldi Park\nLocation: 18501 Rinaldi St,0.08313287
311,10.89660145,777,12,15800 Rinaldi St,V,Van Norman Lakes Reservoir,C,12,Name: Van Norman Lakes Reservoir\nLocation: 15800 Rinaldi St,10.89660145
312,2.90303784,202,12,9301 Valley Circle Blvd.,V,Chatsworth Oaks Park,N,12,Name: Chatsworth Oaks Park\nLocation: 9301 Valley Circle Blvd.,2.90303784
313,22.21382075,752,12,17301 Sesnon Blvd,V,Bee Canyon Park,C,12,Name: Bee Canyon Park\nLocation: 17301 Sesnon Blvd,22.21382075
314,8.115835,165,09,5790 Compton Ave,P,Augustus F. Hawkins Natural Park,N,9,Name: Augustus F. Hawkins Natural Park\nLocation: 5790 Compton Ave,8.115835
315,0.54130545,219,09,5350 Alba St,P,Pueblo del Rio Recreation Center,N,9,Name: Pueblo del Rio Recreation Center\nLocation: 5350 Alba St,0.54130545
316,0.14522547,602,09,4521 S Central Ave,P,Vernon Branch Library Pocket Park,N,9,Name: Vernon Branch Library Pocket Park\nLocation: 4521 S Central Ave,0.14522547
317,131.1977405,101,11,2660 Westridge Rd,W,Mandeville Canyon Park,R,11,Name: Mandeville Canyon Park\nLocation: 2660 Westridge Rd,131.1977405
318,23.28643538,103,11,"NE of Sullivan Fire Rd (per Alpha; no other address or HSENO)",W,Sullivan Canyon Park,C,11,"Name: Sullivan Canyon Park\nLocation: NE of Sullivan Fire Rd (per Alpha; no other address or HSENO)",23.28643538
319,25.75591813,104,11,"East end of Oracle Place; no other street address or HSENO available",W,Rivas Canyon Park,C,11,"Name: Rivas Canyon Park\nLocation: East end of Oracle Place; no other street address or HSENO available",25.75591813
320,0.46358084,112,11,Via Las Palmas & Via La Costa,W,Temescal Ridge Trailhead,N,11,Name: Temescal Ridge Trailhead\nLocation: Via Las Palmas & Via La Costa,0.46358084
321,24.38543131,114,11,15400 Pacific Coast Hwy,W,Palisades Park (Pacific Palisades),C,11,Name: Palisades Park (Pacific Palisades)\nLocation: 15400 Pacific Coast Hwy,24.38543131
322,1.556321,118,11,333 S Barrington Ave,W,Barrington Dog Park,N, ,Name: Barrington Dog Park\nLocation: 333 S Barrington Ave,1.556321
323,14.32617065,123,11,3324 S Centinela Ave,W,Venice Reservoir Site,C,11,Name: Venice Reservoir Site\nLocation: 3324 S Centinela Ave,14.32617065
324,149.53595831,225,12,8751-9461 Valley Circle Blvd,V,Chatsworth Reservoir Site,R,12,Name: Chatsworth Reservoir Site\nLocation: 8751-9461 Valley Circle Blvd,149.53595831
325,82.3419685,999,12,Balboa Blvd. across from Balboa Golf Course,V,Balboa Sports Center,R,6,Name: Balboa Sports Center\nLocation: Balboa Blvd. across from Balboa Golf Course,82.3419685
326,1538.59641923,750,06,17017 Burbank Blvd,V,Sepulveda Basin Recreation Area,R,6,Name: Sepulveda Basin Recreation Area\nLocation: 17017 Burbank Blvd,1538.59641923
327,109.66407201,808,06,6350 Woodley Ave,V,Woodley Avenue Park,R,6,Name: Woodley Avenue Park\nLocation: 6350 Woodley Ave,109.66407201
328,14.71660197,178,06,Burbank Blvd. across from Encino Golf Course,V,Hjelte Sports Center,C,6,Name: Hjelte Sports Center\nLocation: Burbank Blvd. across from Encino Golf Course,14.71660197
329,1.54823408,998,05,7174 N. Hayvenhurst Ave,V,Encino Park and Ride,N,5,Name: Encino Park and Ride\nLocation: 7174 N. Hayvenhurst Ave,1.54823408
330,24.09100738,159,05,16633 Magnolia Blvd,V,Sepulveda Garden Center,C,5,Name: Sepulveda Garden Center\nLocation: 16633 Magnolia Blvd,24.09100738
331,169.24247559,810,06,6200 Balboa Blvd,V,Anthony C. Beilenson Park,R,6,Name: Anthony C. Beilenson Park\nLocation: 6200 Balboa Blvd,169.24247559
332,18.22357032,761,12,13100 Balboa Blvd,V,Granada Hills Youth Recreation Center,C,12,Name: Granada Hills Youth Recreation Center\nLocation: 13100 Balboa Blvd,18.22357032
333,50.11097445,996,12,W of Porter Ranch Dr. S of Sesnon Blvd.,V,Porter Ranch-Sesnon Property,R,12,Name: Porter Ranch-Sesnon Property\nLocation: W of Porter Ranch Dr. S of Sesnon Blvd.,50.11097445
334,25.88103696,765,12,19900 Sesnon Blvd,V,Moonshine Canyon Park,C,12,Name: Moonshine Canyon Park\nLocation: 19900 Sesnon Blvd,25.88103696
335,51.9927585,754,12,Browns Canyon Rd,V,Browns Creek Park,R,12,Name: Browns Creek Park\nLocation: Browns Canyon Rd,51.9927585
336,13.60455816,767,12,Between Oso Canyon and Limekiln Canyon Roads,V,Old Mission Trail,C,12,Name: Old Mission Trail\nLocation: Between Oso Canyon and Limekiln Canyon Roads,13.60455816
337,45.15844896,995,06,"near Sheldon, Arleta and Hollywood Freeway",V,Sheldon-Arleta Park,C,6,"Name: Sheldon-Arleta Park\nLocation: near Sheldon, Arleta and Hollywood Freeway",45.15844896
338,0.25881891,992,05,4924 Paso Robles Ave,V,Encino Women's Club,N,5,Name: Encino Women's Club\nLocation: 4924 Paso Robles Ave,0.25881891
339,3.45926533,657,05,601 Club View Dr,W,Armand Hammer Golf Course,N,5,Name: Armand Hammer Golf Course\nLocation: 601 Club View Dr,3.45926533
340,182.61241587,206,05,2551 Motor Ave,W,Cheviot Hills Park,R,5,Name: Cheviot Hills Park\nLocation: 2551 Motor Ave,182.61241587
341,0.97483455,651,05,6313 W San Vicente Blvd,W,Carthay Circle Park,N,5,Name: Carthay Circle Park\nLocation: 6313 W San Vicente Blvd,0.97483455
342,3.93712161,994,05,8260 Mulholland Dr,V,Laurel Canyon Dog Park,N,4,Name: Laurel Canyon Dog Park\nLocation: 8260 Mulholland Dr,3.93712161
